description,category
Erection of a conservatory at the rear,Conservatories
"Erection of a conservatory measuring 3.9 meters deep from the original rear wall, 2.05 metres high to the eaves and 3.18 overall height",Conservatories
Erection of a conservatory to rear,Conservatories
Erection of a conservatory to rear,Conservatories
Erection of a conservatory to rear,Conservatories
Erection of a conservatory to rear,Conservatories
Erection of a conservatory to rear of premises,Conservatories
Erection of a conservatory to rear of property,Conservatories
Erection of a conservatory to the rear,Conservatories
Erection of a conservatory to the rear,Conservatories
Erection of a conservatory to the rear,Conservatories
Erection of a conservatory to the rear of property,Conservatories
Erection of a rear conservatory,Conservatories
Erection of a rear conservatory,Conservatories
"Erection of a rear conservatory measuring 3.24m deep, 3.4m high and eaves height of 2.5m",Conservatories
Erection of a side and rear conservatory,Conservatories
Erection of a side conservatory,Conservatories
Erection of conservatory,Conservatories
Erection of conservatory to rear,Conservatories
Erection of conservatory to rear,Conservatories
Erection of conservatory to rear,Conservatories
Erection of rear conservatory,Conservatories
"Removal of existing conservatory and covered area (veranda) and erection of a replacement conservatory measuring 4m in width, 4m in depth with, eaves height less than 3m and overall height less than 4m",Conservatories
Removal of existing conservatory and erection of a replacement conservatory,Conservatories
Retention of conservatory,Conservatories
change existing windown to front of garage to a smaller window and door,Doors and Windows
Enlargement of existing ground floor winows and formation of new ground floor windows,Doors and Windows
Erection of a front dormer window and 2 side dormer windows,Doors and Windows
"Erection of a porch, bay window and canopy above",Doors and Windows
Erection of dormer windows to side and hip to gable at rear,Doors and Windows
Erection of rear dormer,Doors and Windows
Formation of a dormer window in rear roof elevation and two velux windows in front facing roof slope,Doors and Windows
Formation of a dormer window within rear facing roof slope,Doors and Windows
Formation of a dormer window within rear roof elevation and insertion of a velux window in front roof elevation,Doors and Windows
Formation of a window (obscure glazed) at first floor level on side facing wall of property,Doors and Windows
Formation of an internal door from main house into integral garage,Doors and Windows
Infill of the front porch and form a new window opening in place of garage door,Doors and Windows
Insertion a window within ground floor of existing extension.,Doors and Windows
Insertion of a bay/bow window within front wall of existing garage attached garage,Doors and Windows
Insertion of a window to side elevation,Doors and Windows
Insertion of obscure glazed window in side elevation of original property at first floor level,Doors and Windows
Insertion of two additional windows within front elevation of property.,Doors and Windows
Installation of pedestrian door in front elevation to facilitate access to upper floor of No.50,Doors and Windows
Installation of UPVC double glazed windows,Doors and Windows
Moving the front door forward to front of recess,Doors and Windows
New replacement cellar window just below ground level from Wood to UVPC,Doors and Windows
Replace existing bay window with new bay window,Doors and Windows
Replacement of existing concrete framed windows with new timber framed windows,Doors and Windows
Replacement of window above the main door with a clear louvre window or insertion of a plastic grill.,Doors and Windows
Replacement of windows,Doors and Windows
Replacement Windows,Doors and Windows
Replacement windows,Doors and Windows
Replacement windows,Doors and Windows
Conversion of existing integral garage to form a habitable room,Extensions
Demolition of a single storey rear extension and erection of a part single and part 2 storey rear extension and a single storey extension to rear,Extensions
Demolition of existing garage and erection of a side extension,Extensions
Demolition of existing garage and utility room and erection of a single storey side extension,Extensions
Demolition of existing garage and utility room and erection of a single storey side extension,Extensions
Demolition of existing shed and conservatory and erection of a single storey side and rear extension,Extensions
Demolition of single storey side extension and erection of a two storey side extension,Extensions
Erection of  front extension,Extensions
Erection of 3 X 3 metre single storey rear extension following removal of existing lean-to extension,Extensions
Erection of a 2 storey side extension,Extensions
Erection of a a two storey side extension,Extensions
Erection of a first floor side extension,Extensions
Erection of a front extension,Extensions
Erection of a rear extension,Extensions
Erection of a rear extension,Extensions
Erection of a rear extension,Extensions
Erection of a rear extension,Extensions
Erection of a rear extension and external installation.,Extensions
"Erection of a rear extension measuring 5.2 metres in length, eaves height 2.7 metres and overall height of 2.7 metres",Extensions
Erection of a side extension,Extensions
Erection of a single storey extension,Extensions
Erection of a single storey extension,Extensions
Erection of a single storey extension measuring 4 metres deep from original wall of house,Extensions
Erection of a single storey extension measuring 6 metres,Extensions
Erection of a single storey front extension,Extensions
Erection of a single storey front extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension,Extensions
Erection of a single storey rear extension (larger householder extension),Extensions
Erection of a single storey rear extension and front porch,Extensions
